Tue Jan 02 2024 13:35:48 GMT-0500 (Eastern Standard Time) - Run Time: 2355ms

Cross Tabulation Query Form - Trip - 2011

Row: 2006 GTA zone of household - gta06_hhld
Column: 2006 GTA zone of school - gta06_sch


Filters:
(Regional municipality of household - region_hhld In 6, 
and
Regional municipality of school - region_sch In 6
and
Student status of person - stu_stat In S, P, 
and
Primary travel mode of trip - mode_prime In B, D, G, J, M, O, P, S, T, U, 9, 
and
Age of person - age In 5-14
and
Trip purpose of destination - purp_dest In S, )

Trip 2011
ROW : gta06_hhld
COLUMN : gta06_sch
  gta06_hhld   gta06_sch      total
        5001        5041         12
        5002        5007         24
        5002        5041         12
        5002        5129         12
        5003        5041         12
        5005        5005         24
        5005        5007         12
        5005        5009         84
        5005        5041         48
        5005        5089         12
        5005        5129         12
        5005        5241         12
        5007        5005         12
        5008        5065         12
        5009        5005         12
        5009        5041         12
        5009        5050         12
        5012        5028         24
        5015        5135         12
        5016        5020         12
        5020        5020         36
        5020        5066         12
        5020        5135         12
        5020        5139         12
        5020        5155         12
        5027        5059         28
        5028        5007         22
        5030        5026         22
        5030        5093         22
        5030        5129         22
        5032        5032        200
        5032        5104         22
        5032        5241         22
        5036        5059         55
        5040        5048         12
        5040        5059         12
        5040        5104         12
        5041        5032         89
        5041        5041         89
        5041        5121         22
        5041        5129         44
        5041        5241         67
        5042        5048         26
        5044        5044         22
        5044        5053         22
        5044        5114         22
        5045        5050         24
        5045        5057         49
        5045        5104         24
        5046        5041         24
        5046        5045         73
        5046        5050        146
        5046        5060         49
        5050        5050         49
        5050        5074         23
        5050        5114         24
        5050        5116         24
        5051        5050         23
        5051        5066         23
        5051        5114         23
        5051        5122         45
        5051        5129         23
        5051        5203         46
        5052        5089         24
        5052        5121         24
        5053        5053         22
        5053        5089         22
        5053        5114         44
        5056        5050         23
        5056        5051         23
        5056        5058         46
        5056        5059         23
        5056        5104         23
        5056        5114         23
        5057        5057         24
        5057        5143         24
        5058        5058         46
        5058        5059         23
        5058        5104         23
        5059        5059         78
        5059        5065         26
        5060        5050         24
        5060        5052         24
        5060        5057         49
        5061        5048         22
        5061        5061        132
        5061        5090         22
        5061        5093         22
        5063        5057         73
        5063        5060         49
        5063        5074         24
        5063        5092         23
        5063        5104         24
        5063        5144         24
        5065        5059         52
        5065        5065         26
        5065        5094         26
        5065        5129         26
        5066        5065         23
        5066        5066         23
        5066        5091         23
        5066        5121         69
        5066        5142         23
        5067        5059         52
        5068        5053         23
        5068        5089         45
        5068        5114         23
        5069        5047         22
        5069        5097         22
        5069        5104         22
        5071        5081         22
        5073        5059         52
        5073        5065         26
        5073        5073         26
        5074        5050         23
        5075        5066         22
        5075        5092         66
        5075        5097         22
        5075        5104         22
        5075        5129         22
        5076        5150         44
        5077        5205         22
        5078        5059         26
        5078        5094         26
        5078        5115         26
        5081        5081         22
        5081        5090         22
        5082        5050         68
        5082        5060         23
        5082        5074         23
        5082        5082         23
        5082        5151         23
        5084        5066         21
        5084        5084         21
        5084        5091         21
        5084        5092         21
        5084        5104         64
        5084        5121         21
        5084        5135         21
        5084        5139         64
        5084        5175         21
        5086        5118         44
        5089        5050         23
        5089        5114         23
        5089        5150         23
        5090        5090         22
        5090        5093         44
        5091        5048         21
        5091        5091         43
        5091        5104         64
        5091        5129         24
        5092        5050         22
        5092        5066         22
        5092        5069         22
        5092        5087         22
        5092        5097         22
        5092        5144         22
        5093        5086         22
        5093        5090         22
        5093        5111         22
        5094        5059         78
        5094        5065         26
        5094        5094        182
        5094        5139         26
        5094        5142         26
        5096        5093         22
        5097        5066         22
        5098        5121         21
        5100        5061        132
        5100        5088        154
        5100        5090         22
        5100        5093         22
        5101        5101         25
        5101        5239         25
        5102        5089         23
        5104        5060         21
        5104        5066         43
        5104        5074         21
        5104        5082         21
        5104        5091         43
        5104        5139         21
        5105        5059         78
        5105        5065         26
        5105        5104         26
        5106        5111         22
        5106        5139         22
        5107        5151         24
        5107        5216         24
        5109        5142         26
        5110        5050         45
        5110        5082         23
        5110        5087         23
        5110        5110         45
        5110        5116         23
        5110        5203         23
        5111        5107         25
        5113        5090         22
        5114        5122         23
        5115        5066         64
        5115        5098         21
        5115        5115         21
        5115        5125         21
        5115        5140         43
        5116        5045         22
        5116        5092         44
        5116        5104         22
        5118        5093         72
        5120        5150         25
        5121        5104         22
        5121        5140         22
        5121        5144         22
        5122        5104         23
        5122        5122         23
        5123        5090         24
        5123        5118         72
        5127        5132         25
        5127        5203         25
        5127        5241         25
        5129        5045         21
        5129        5104         43
        5129        5139         21
        5130        5051         23
        5130        5143         23
        5131        5107         23
        5131        5111         24
        5131        5183         23
        5132        5111         25
        5132        5241         25
        5133        5059         26
        5133        5073         52
        5133        5098         21
        5133        5104         21
        5133        5133         52
        5133        5140         26
        5137        5105         26
        5138        5065         26
        5138        5142        104
        5139        5048         21
        5139        5059         21
        5139        5104         21
        5139        5139         43
        5139        5140         21
        5140        5066         21
        5140        5115         21
        5141        5111         23
        5143        5050         22
        5144        5066         43
        5144        5121         22
        5144        5132         22
        5144        5142         22
        5144        5143         44
        5148        5093         46
        5148        5107         69
        5148        5111         46
        5148        5149         23
        5149        5120         23
        5149        5148         23
        5149        5154         23
        5150        5116         23
        5150        5150         23
        5150        5170         93
        5150        5174         23
        5154        5183         23
        5155        5150         23
        5157        5068         23
        5157        5144         23
        5157        5151         23
        5157        5176         46
        5158        5174         22
        5158        5203         22
        5159        5195         23
        5161        5092         23
        5162        5154         23
        5164        5150         47
        5165        5093         23
        5165        5111         23
        5165        5132         23
        5165        5174         23
        5165        5195         23
        5166        5175         20
        5166        5196        102
        5166        5203         41
        5167        5180         22
        5170        5104         23
        5170        5180         23
        5170        5188         23
        5170        5195         23
        5170        5196         23
        5170        5203         46
        5171        5174         22
        5172        5068         23
        5174        5183         22
        5174        5203         22
        5175        5196         82
        5175        5203         41
        5176        5132         23
        5176        5154         23
        5176        5170         46
        5176        5183         23
        5177        5059         27
        5177        5103         28
        5177        5175         28
        5177        5177         28
        5177        5205         28
        5177        5216         28
        5177        5236         28
        5177        5249         27
        5178        5174         17
        5178        5205         33
        5178        5236         33
        5178        5252         33
        5179        5174         44
        5179        5181         22
        5179        5203         22
        5180        5104         22
        5181        5203         23
        5182        5148         69
        5182        5241         23
        5183        5183         46
        5183        5194         23
        5186        5174         20
        5191        5191         17
        5191        5236         50
        5191        5252         17
        5194        5208         46
        5195        5180         20
        5196        5175         20
        5196        5196         20
        5197        5203         23
        5199        5170         23
        5200        5174         41
        5202        5175         17
        5202        5196         17
        5202        5203         17
        5202        5205         17
        5203        5196         20
        5204        5174         20
        5204        5175         20
        5204        5196         20
        5204        5201         20
        5205        5175         17
        5205        5203         17
        5205        5205         17
        5205        5248         17
        5206        5151         23
        5206        5188         23
        5206        5208         46
        5207        5120         17
        5207        5170         17
        5207        5205         33
        5207        5252         17
        5208        5060         23
        5208        5203         23
        5210        5165         46
        5215        5175         17
        5216        5048         56
        5216        5216        112
        5219        5216         33
        5223        5196         28
        5223        5223         55
        5224        5175         67
        5224        5248        149
        5226        5226        202
        5228        5069         29
        5229        5175         29
        5230        5175         29
        5230        5223         88
        5230        5229         59
        5230        5233         29
        5230        5234         88
        5231        5223         59
        5231        5232         55
        5232        5089         29
        5232        5175         88
        5232        5196         29
        5232        5229        353
        5232        5232         59
        5233        5205         29
        5233        5229         27
        5233        5234         29
        5234        5234         27
        5238        5044         22
        5238        5088         22
        5238        5090         44
        5239        5053         25
        5239        5183         25
        5241        5111         48
        5241        5151         25
        5241        5239        174
        5241        5241         49
        5242        5044         24
        5242        5093         12
        5242        5135         24
        5243        5026         12
        5246        5142         33
        5246        5175         17
        5246        5196         17
        5248        5236         27
        5248        5248         55
        5248        5249         82
        5249        5203         25
        5252        5175         17
        5252        5205         17
