Tue Jan 02 2024 13:37:06 GMT-0500 (Eastern Standard Time) - Run Time: 2861ms

Cross Tabulation Query Form - Trip - 2011

Row: 2006 GTA zone of household - gta06_hhld
Column: 2006 GTA zone of school - gta06_sch


Filters:
(Regional municipality of household - region_hhld In 6, 
and
Regional municipality of school - region_sch In 6
and
Student status of person - stu_stat In S, P, 
and
Primary travel mode of trip - mode_prime In C, W, 
and
Age of person - age In 5-14
and
Trip purpose of destination - purp_dest In S, )

Trip 2011
ROW : gta06_hhld
COLUMN : gta06_sch
  gta06_hhld   gta06_sch      total
        5005        5005         36
        5005        5007         12
        5009        5009         12
        5032        5032        133
        5032        5041         44
        5041        5032         44
        5041        5041         89
        5045        5045         49
        5045        5050         24
        5046        5045         24
        5050        5050         72
        5050        5051         24
        5051        5050         23
        5051        5051         23
        5053        5053         67
        5057        5057         49
        5059        5059         78
        5059        5065         52
        5060        5050         24
        5060        5060         49
        5061        5077         22
        5061        5088         44
        5063        5057         24
        5065        5059         26
        5065        5065         26
        5066        5066         21
        5066        5098         23
        5068        5068        180
        5069        5092         22
        5074        5074         23
        5074        5082         23
        5078        5073         26
        5079        5080         22
        5081        5093         22
        5082        5074         47
        5082        5082         69
        5084        5104        107
        5086        5086         22
        5089        5089         23
        5090        5090         44
        5091        5091         21
        5092        5092         88
        5093        5086         22
        5094        5094         52
        5095        5089         68
        5096        5090         66
        5097        5092         22
        5097        5104         21
        5098        5098         64
        5102        5110         23
        5104        5091         64
        5104        5104        129
        5105        5105         26
        5106        5086         44
        5106        5113         22
        5110        5110         90
        5110        5116         45
        5111        5111         25
        5113        5113         22
        5114        5089         23
        5115        5092         43
        5115        5115         21
        5116        5092         22
        5116        5116         22
        5116        5143         22
        5116        5144         22
        5117        5120         25
        5117        5151         25
        5118        5093         24
        5118        5107         24
        5120        5120         75
        5121        5116         22
        5121        5121         22
        5123        5093         24
        5123        5099         48
        5123        5111         48
        5123        5123        192
        5125        5104         21
        5125        5144         21
        5129        5104         21
        5129        5129         21
        5129        5144         21
        5130        5102         45
        5130        5116         23
        5131        5111         23
        5132        5157         75
        5133        5066         21
        5133        5098         21
        5133        5139         69
        5135        5135         23
        5135        5143         68
        5139        5133         66
        5139        5140         21
        5140        5104         21
        5140        5140         43
        5141        5157         23
        5143        5135         22
        5143        5143         22
        5144        5116         22
        5148        5120         23
        5148        5148        276
        5148        5151         46
        5149        5132         25
        5149        5148         23
        5149        5149         46
        5150        5150         47
        5151        5120         23
        5151        5149         23
        5151        5151         46
        5154        5154         46
        5155        5150         47
        5157        5154         23
        5157        5157         70
        5157        5170         23
        5158        5174         44
        5158        5180         22
        5158        5203         22
        5159        5159         23
        5159        5180         23
        5161        5149         46
        5162        5154         92
        5165        5132         23
        5165        5150         23
        5165        5165         47
        5168        5159         23
        5168        5174         23
        5170        5150         23
        5170        5183         23
        5170        5188         46
        5172        5159         23
        5172        5181         23
        5172        5195         23
        5174        5174         44
        5175        5196        102
        5176        5132         23
        5176        5154         23
        5176        5157         46
        5179        5174         22
        5179        5180         44
        5180        5174         44
        5180        5203         22
        5181        5181         46
        5181        5186         46
        5182        5148         23
        5188        5188         23
        5192        5174         22
        5192        5180         22
        5194        5170         44
        5194        5188         23
        5194        5194         44
        5196        5196         61
        5196        5203         41
        5199        5186         46
        5199        5195         46
        5199        5208         23
        5200        5174         20
        5200        5200         20
        5202        5205         17
        5202        5236         17
        5203        5196         20
        5203        5203         82
        5204        5174         20
        5204        5201         41
        5205        5205         17
        5207        5205         33
        5208        5208        162
        5226        5226         27
        5229        5229         29
        5232        5229        147
        5232        5232         59
        5236        5236         17
        5239        5239         50
        5239        5241         25
        5241        5239         25
        5241        5241        174
        5246        5236         83
        5252        5236         33
