Tue Jan 02 2024 13:35:51 GMT-0500 (Eastern Standard Time) - Run Time: 2350ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: 2006 GTA zone of school - gta06_sch


Filters:
(Regional municipality of household - region_hhld In 6, 
and
Regional municipality of school - region_sch In 6
and
Student status of person - stu_stat In S, P, 
and
Primary travel mode of trip - mode_prime In B, D, G, J, M, O, P, S, T, U, 9, 
and
Age of person - age In 5-14
and
Trip purpose of destination - purp_dest In S)

Trip 2016
ROW : gta06_hhld
COLUMN : gta06_sch
  gta06_hhld   gta06_sch      total
        5005        5009         77
        5005        5142        123
        5005        5244        142
        5020        5020         20
        5020        5104         31
        5028        5032         38
        5030        5244         56
        5032        5032         74
        5032        5053         43
        5032        5077         90
        5033        5050        139
        5033        5066         96
        5036        5059          6
        5041        5041         99
        5041        5068         41
        5041        5121         33
        5044        5053        103
        5046        5050        256
        5046        5060         51
        5047        5059          8
        5047        5066         16
        5047        5091         32
        5050        5050         38
        5050        5087         37
        5050        5203         92
        5051        5050        108
        5051        5102         65
        5051        5104         30
        5051        5135         84
        5052        5082         68
        5052        5104         44
        5052        5114         28
        5053        5053         48
        5054        5053         28
        5055        5244         86
        5056        5032         32
        5056        5051         80
        5056        5058         58
        5056        5121         92
        5058        5058         36
        5058        5084         15
        5059        5059         37
        5059        5135        139
        5061        5061         31
        5061        5088        144
        5061        5093        112
        5063        5066         49
        5063        5087         49
        5063        5092         43
        5065        5059        205
        5065        5065         41
        5065        5094         36
        5066        5091         37
        5066        5098         76
        5066        5139         65
        5067        5065         34
        5067        5114         53
        5071        5076         84
        5071        5093         40
        5073        5059        166
        5073        5073        187
        5073        5094        113
        5073        5104        146
        5073        5140        119
        5075        5066        102
        5075        5068         55
        5075        5074         21
        5075        5089         58
        5075        5097         24
        5075        5098        152
        5075        5170         20
        5076        5076         28
        5076        5081         70
        5077        5061         27
        5078        5073         42
        5078        5094         82
        5080        5080        111
        5080        5086          8
        5084        5104        115
        5086        5080         32
        5088        5093         31
        5089        5050         26
        5090        5090         20
        5093        5088         18
        5093        5120         34
        5094        5059         52
        5094        5094         77
        5094        5142        102
        5095        5089         44
        5097        5170         91
        5098        5060         70
        5098        5139        155
        5099        5111         27
        5100        5061         48
        5100        5088        110
        5105        5059         59
        5105        5104         19
        5106        5081        121
        5109        5059         41
        5109        5180         41
        5110        5091        102
        5110        5110         32
        5113        5118        225
        5114        5122         13
        5116        5050         63
        5118        5093         21
        5121        5060        110
        5121        5074        110
        5121        5087        193
        5122        5050         84
        5122        5102        119
        5123        5032         23
        5125        5066         33
        5126        5111         97
        5132        5041         30
        5132        5053         35
        5133        5098         52
        5133        5140         73
        5135        5114         34
        5137        5059          8
        5137        5109         35
        5139        5139        208
        5140        5066        110
        5140        5115         53
        5141        5244         55
        5144        5104         21
        5144        5144         55
        5148        5104        101
        5148        5107         17
        5148        5132         34
        5148        5148         36
        5148        5203        101
        5149        5111         85
        5155        5170         11
        5157        5120         96
        5158        5091         53
        5161        5180         43
        5164        5194         62
        5166        5196         58
        5168        5144          7
        5170        5203         72
        5175        5196         51
        5176        5165         79
        5177        5175         24
        5177        5177          9
        5177        5184         26
        5177        5249         46
        5177        5252         26
        5178        5203         37
        5178        5236         34
        5181        5150        104
        5191        5175         75
        5191        5191         24
        5191        5205         75
        5191        5236         44
        5196        5142         20
        5200        5174         15
        5201        5082         27
        5201        5180        132
        5201        5203        132
        5202        5205         12
        5202        5236         31
        5203        5068         22
        5203        5196         48
        5205        5249         30
        5207        5236         35
        5208        5196         45
        5212        5107         32
        5216        5216        177
        5219        5048         57
        5219        5249         57
        5223        5229        105
        5223        5235         51
        5224        5229         10
        5224        5248         55
        5226        5175         31
        5226        5226         88
        5226        5229        127
        5226        5232         29
        5229        5175         26
        5230        5223         72
        5230        5229         33
        5230        5232         23
        5231        5142         33
        5232        5175         42
        5232        5229         42
        5233        5175         20
        5233        5229         44
        5233        5235         20
        5234        5229         41
        5235        5175         42
        5237        5128        166
        5238        5061         90
        5238        5077         65
        5238        5088         18
        5240        5244         14
        5241        5111         56
        5241        5151         29
        5241        5241         64
        5244        5041         39
        5244        5120         15
        5245        5028         96
        5246        5175         55
        5247        5129         28
        5247        5252         28
        5248        5177         25
        5248        5248         32
        5248        5252         34
        5250        5229         12
