Tue Jan 02 2024 13:37:02 GMT-0500 (Eastern Standard Time) - Run Time: 2228ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: 2006 GTA zone of school - gta06_sch


Filters:
(Regional municipality of household - region_hhld In 6, 
and
Regional municipality of school - region_sch In 6
and
Student status of person - stu_stat In S, P, 
and
Primary travel mode of trip - mode_prime In C, W, 
and
Age of person - age In 5-14
and
Trip purpose of destination - purp_dest In S)

Trip 2016
ROW : gta06_hhld
COLUMN : gta06_sch
  gta06_hhld   gta06_sch      total
        5002        5009         37
        5005        5005         50
        5009        5009         95
        5020        5020         47
        5032        5032        150
        5041        5041         54
        5041        5244         25
        5045        5045         36
        5045        5050         36
        5050        5050        105
        5051        5051        150
        5053        5053        120
        5057        5057         67
        5059        5059         78
        5066        5066        180
        5068        5068        181
        5069        5092        151
        5074        5068         56
        5076        5090         32
        5081        5086         17
        5084        5066         19
        5084        5091         33
        5084        5104         48
        5086        5086         22
        5086        5093         31
        5089        5089         27
        5091        5066         29
        5092        5087         34
        5093        5080         12
        5094        5094         28
        5095        5089         57
        5095        5114         33
        5096        5090         43
        5097        5121         49
        5098        5098        246
        5102        5110         52
        5104        5104        126
        5111        5111        109
        5113        5081        109
        5114        5114         42
        5114        5122         70
        5118        5118        115
        5121        5121         40
        5122        5122         38
        5123        5123        181
        5127        5151         20
        5129        5104         45
        5132        5132         47
        5133        5104         29
        5135        5143         80
        5139        5140         44
        5140        5139         46
        5140        5142         13
        5141        5132         55
        5141        5150         33
        5143        5143         29
        5144        5144        120
        5149        5149        101
        5150        5150          7
        5151        5120         98
        5151        5151         32
        5155        5150         11
        5157        5132         83
        5157        5141         41
        5158        5174        450
        5158        5180         39
        5158        5203         79
        5161        5149        151
        5161        5180         43
        5164        5159         72
        5170        5170        203
        5170        5188        124
        5174        5174         19
        5175        5196        106
        5175        5203         76
        5180        5203         31
        5181        5181         99
        5181        5194         60
        5183        5132         55
        5183        5165         55
        5186        5186         27
        5188        5188         33
        5192        5174         15
        5194        5188         43
        5196        5196         35
        5199        5208        147
        5200        5174         44
        5203        5196         50
        5203        5203         63
        5204        5195         17
        5204        5201         11
        5205        5205        116
        5208        5208         50
        5232        5229         29
        5232        5232         51
        5233        5229         19
        5235        5235         42
        5236        5252         77
        5237        5128         16
        5239        5239         45
        5241        5111        114
        5241        5241        132
        5246        5236         53
